id,col_3,col_4,col_5
3764,A2a,053/075,A2a-053
3765,A2a,052/075,A2a-052
3766,A2a,051/075,A2a-051
3767,A2a,050/075,A2a-050
3768,A2a,049/075,A2a-049
3769,A2a,048/075,A2a-048
3770,A2a,047/075,A2a-047
3771,A2a,046/075,A2a-046
3772,A2a,045/075,A2a-045
3773,A2a,044/075,A2a-044
3774,A2a,043/075,A2a-043
3775,A2a,042/075,A2a-042
3776,A2a,041/075,A2a-041
3777,A2a,040/075,A2a-040
3778,A2a,039/075,A2a-039
3779,A2a,038/075,A2a-038
3780,A2a,037/075,A2a-037
3781,A2a,036/075,A2a-036
3782,A2a,035/075,A2a-035
3783,A2a,034/075,A2a-034
3784,A2a,033/075,A2a-033
3785,A2a,032/075,A2a-032
3786,A2a,031/075,A2a-031
3787,A2a,030/075,A2a-030
3788,A2a,029/075,A2a-029
3789,A2a,028/075,A2a-028
3790,A2a,027/075,A2a-027
3791,A2a,026/075,A2a-026
3792,A2a,025/075,A2a-025
3793,A2a,024/075,A2a-024
3794,A2a,023/075,A2a-023
3795,A2a,022/075,A2a-022
3796,A2a,021/075,A2a-021
3797,A2a,020/075,A2a-020
3798,A2a,019/075,A2a-019
3799,A2a,018/075,A2a-018
3800,A2a,017/075,A2a-017
3801,A2a,016/075,A2a-016
3802,A2a,015/075,A2a-015
3803,A2a,014/075,A2a-014
3804,A2a,013/075,A2a-013
3805,A2a,012/075,A2a-012
3806,A2a,011/075,A2a-011
3807,A2a,010/075,A2a-010
3808,A2a,009/075,A2a-009
3809,A2a,008/075,A2a-008
3810,A2a,007/075,A2a-007
3811,A2a,006/075,A2a-006
3812,A2a,005/075,A2a-005
3813,A2a,004/075,A2a-004
3814,A2a,003/075,A2a-003
3815,A2a,002/075,A2a-002
3816,A2a,001/075,A2a-001
3817,PROMO-A,042/P-A,P-A-042
3818,PROMO-A,043/P-A,P-A-043
3819,PROMO-A,044/P-A,P-A-044
3820,PROMO-A,045/P-A,P-A-045
3821,PROMO-A,046/P-A,P-A-046
3822,PROMO-A,047/P-A,P-A-047
3823,PROMO-A,048/P-A,P-A-048
3824,PROMO-A,049//P-A,P-A-049
3825,PROMO-A,053/P-A,P-A-053
3826,A2b,052/P-A,A2b-052
3827,PROMO-A,059/P-A,P-A-059
3828,PROMO-A,058/P-A,P-A-058
3829,PROMO-A,057/P-A,P-A-057
3830,PROMO-A,056/P-A,P-A-056
3831,PROMO-A,055/P-A,P-A-055
3832,PROMO-A,054/P-A,P-A-054
3833,PROMO-A,051//P-A,P-A-051
3834,PROMO-A,050//P-A,P-A-050
3835,A2b,111/072,A2b-111
3836,A2b,110/072,A2b-110
3837,A2b,109/072,A2b-109
3838,A2b,108/072,A2b-108
3839,A2b,107/072,A2b-107
3840,A2b,106/072,A2b-106
3841,A2b,105/072,A2b-105
3842,A2b,104/072,A2b-104
3843,A2b,103/072,A2b-103
3844,A2b,102/072,A2b-102
3845,A2b,101/072,A2b-101
3846,A2b,100/072,A2b-100
3847,A2b,099/072,A2b-099
3848,A2b,098/072,A2b-098
3849,A2b,097/072,A2b-097
3850,A2b,096/072,A2b-096
3851,A2b,095/072,A2b-095
3852,A2b,094/072,A2b-094
3853,A2b,093/072,A2b-093
3854,A2b,092/072,A2b-092
3855,A2b,091/072,A2b-091
3856,A2b,090/072,A2b-090
3857,A2b,089/072,A2b-089
3858,A2b,088/072,A2b-088
3859,A2b,087/072,A2b-087
3860,A2b,086/072,A2b-086
3861,A2b,085/072,A2b-085
3862,A2b,084/072,A2b-084
3863,A2b,083/072,A2b-083
3864,A2b,082/072,A2b-082
3865,A2b,081/072,A2b-081
3866,A2b,080/072,A2b-080
3867,A2b,079/072,A2b-079
3868,A2b,078/072,A2b-078
3869,A2b,077/072,A2b-077
3870,A2b,076/072,A2b-076
3871,A2b,075/072,A2b-075
3872,A2b,074/072,A2b-074
3873,A2b,073/072,A2b-073
